Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,CAF,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,13.87245573,15.75566203,13.74027422,13.42314607,14.66669498,13.77860315,14.80927173,15.03461208,16.93634757,18.95723543,,16.84811489,15.99345745,16.11979858,17.42151173,16.07439541,16.89367864,16.28892784,20.85525654,,,,,,,,,19.13062295,,,,18.30392553,27.08361053,15.61614003,12.33690004,21.77477681,23.41466684,22.7938982,29.3347494,26.95391057,20.35000639,23.44889709,16.4830034,17.23163478,0.473915042,18.61193208,25.92978885,39.32812295,28.09191803,31.23628299,29.618198,36.03696259,26.36458426,15.16106801,15.92038926,21.07075369,
Canada,CAN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,11.66132637,12.92239464,11.61627213,9.811348134,9.012312959,8.621593559,7.881618732,7.995706388,8.635235186,7.922002711,7.851451987,8.940073711,8.614630489,8.29776401,8.145860293,8.365812713,8.107673298,7.291386358,7.452742424,7.02868631,7.6846722,7.005504501,6.529163959,5.942284246,6.185172414,6.049298345,5.6377243,5.763383232,6.143538131,6.391533274,6.359714615,6.295322218,6.036851325,5.706544446,5.823926791,5.540020178,5.569501296,5.313304298,5.105200148,5.823663495,6.069150433,6.206223846,5.828519562,5.659189697,5.806003702,6.223404576,6.51701431,8.051934915,7.330776592,7.287709657,7.406395846,7.608620637,7.849652112,8.310944903,8.59469145,8.324826433,8.04728721
Central Europe and the Baltics,CEB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.625948212,9.158951735,8.457270548,8.447518115,7.484808049,7.201477931,6.466867903,5.785268805,5.942215491,5.642036744,5.512792527,5.636918828,5.867247062,5.606710504,5.905930091,6.338683448,7.908950273,7.24075538,7.258265147,7.600231787,7.837915943,7.661494827,8.249992557,8.11722986,7.947290523,7.567417407
Switzerland,CHE,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,16.55266878,16.46142983,16.88915253,17.1247836,16.52980766,15.97847311,14.09827831,13.64189483,13.16992205,13.08118982,12.65418425,13.13783296,12.13608615,13.03288194,11.99704346,11.45489058,10.29621528,8.781316791,8.040391218,8.945373612,9.027221252,8.435105028,8.137193519,8.014748133,7.711076736,7.349117664,6.841695648,6.343958618,6.277607366,6.608797753,6.736728356,6.834177858,6.930010146,6.443778315,6.583510126,6.253992486,6.247633339,6.13087631,5.504909364,5.470949327,5.72206893,6.007145467,5.659795658,5.430379515,5.245581422,5.392652802,5.695617813,6.288281933,5.831440864,5.762129462,5.616129522,5.938283511,6.004585468,6.160461011,6.09750758,5.995704644,5.682347524
Channel Islands,CHI,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,19.38295531,21.43705481,20.71222697,20.07385086,18.50564707,16.77496847,17.20892481,16.97142843,14.63864301,17.73468591,23.4169369,25.81893773,32.66107779,18.53414971,25.5737578,12.42302875,16.66519617,12.70089313,15.02773912,11.97317383,16.21402658,17.97630013,13.54401668,8.310293831,5.079663585,4.811850558,5.289802776,3.579679425,4.383201845,5.793295964,6.314544312,5.991499672,6.937832367,6.717962706,7.164068163,6.725220159,7.302312415,8.609510835,7.382281127,7.360057813,7.966869816,7.819534542,6.929914293,5.807014778,4.102886746,6.644752816,6.77064161,7.316847801,7.108321247,7.35412038,7.376253029,7.651769835,8.382545054,9.179312468,9.590154144,9.922142578,9.5565894
China,CHN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,9.025616018,4.098320908,4.393763892,7.336018246,7.76823232,9.123327792,8.655335164,6.119837779,4.887476978,2.863455323,4.382309688,6.979069953,5.88040854,5.030726381,4.770712718,4.032473613,4.127804579,3.974792425,3.522518695,3.854195091,4.035359314,3.557627182,3.184264623,3.719424488,4.756049838,4.917167838,4.615003087,4.649789984,5.404176057,5.495515037,5.811214313,7.011942609,6.533163177,6.799189337,
Cote d'Ivoire,CIV,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,18.85974343,17.68360673,17.71338536,18.34423852,20.6999939,15.837202,16.62645751,14.82922055,15.90092925,16.07060927,17.34155081,20.0868123,17.25101359,14.70481598,13.36552264,14.00668416,13.32714059,15.01008971,,20.29986606,19.31702849,20.58907926,,17.15646629,,,,,,,,,,20.883743,18.59224272,19.20147362,20.75375291,19.19629535,17.18453285,21.0850034,22.58239531,22.49058182,17.19765913,14.62057442,17.28322448,17.40583661,19.61086672,23.17399075,19.24463252,25.12736584,20.01047788,14.58092556,16.84164409,19.83433853,21.8058662,20.94468434,
Cameroon,CMR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,18.54370217,14.26175705,14.83544524,12.49407672,11.91119911,12.17758906,14.56301069,11.90578224,19.69769098,13.54139734,12.05401091,12.91372654,14.05124313,10.95146149,9.807814514,12.12276353,9.555830801,9.940196871,8.613002349,,9.706836161,,,,15.4185893,14.67377152,,16.25279066,18.53692046,,,,,17.44092172,13.73072526,15.67731104,15.42213684,18.93118499,18.15882394,15.46456146,18.0566316,17.60734002,18.31556398,17.34749909,17.95586666,21.34710142,23.78551116,26.82716739,17.69995069,25.0969955,19.38124959,22.27464053,17.39413457,19.8726848,21.94839137,22.8145408,
"Congo, Dem. Rep.",COD,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,25.6621165,,,19.38548628,,,,,15.67914789,,15.74686501,18.22470912,21.47456993,16.968453,21.15993201,16.92508968,20.66648927,,,,,,,20.64241677,20.55028725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,19.34592491,20.0556351,19.6728423,15.40106733,14.76600611,14.18623571,14.73471056,,20.10986737,16.26645064,18.07668775,14.53863506,16.97402368,16.39247597,16.51080186,21.31787044,22.95463602,26.92629199,19.17840784,,,14.22161345,19.02862445,19.13040496,18.513926,,,,,,,20.4148782,26.49990833,20.80910819,,,,,,,,,,,,5.630353911,8.152372495,8.758599288,7.023644491,5.739090617,6.074243296,6.854127883,17.84618978,,,13.47281034,
