Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,CAF,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,35.94397009,19.11944416,31.88666522,20.73983159,26.24612256,24.15241107,17.49952985,17.89107451,26.2812496,27.27222981,,16.73032073,31.50544971,25.65122014,37.30130365,43.01493156,32.48936841,29.24820537,30.98212628,,,,,,,,,31.08254031,,,,5.337880853,4.203373604,4.235770879,1.256565976,2.180032509,5.713732114,12.30272002,10.65028181,2.714990604,2.127427052,1.385713517,1.891392088,0.835779529,0.249931784,2.702868508,1.445155073,3.563287265,1.546074621,1.237972649,0.435470354,0.12662978,0.102848986,0.522570024,0.354247578,1.397643538,
Canada,CAN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,20.06724626,21.99035459,23.15536092,20.81807105,20.32515411,15.44677725,12.59822624,10.62312229,12.20459731,13.27603279,12.8934179,14.1714396,13.37165632,13.61970414,12.16840808,11.65185944,11.4299138,11.40622591,12.31743012,12.85171758,13.41826997,12.67745061,10.98331322,9.288143828,9.256616011,9.404433101,9.508512045,8.151073053,8.686283117,9.053125155,9.51094519,8.180710104,7.841322378,7.676788989,8.185760842,8.326263683,7.90363384,6.966275496,6.753857537,7.845593881,7.471007464,7.39272814,7.763109619,7.153052156,7.448100023,8.142819845,9.216385938,11.46557248,10.47001266,10.63538695,10.56962166,10.68446375,11.36954153,12.67944951,13.32087186,12.89078474,12.27922565
Central Europe and the Baltics,CEB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48770732,11.14028949,10.52451037,10.61878844,9.604570209,8.257253223,7.1247291,6.053333323,6.275900636,6.056126562,6.022824626,6.014915453,6.511887348,6.29264982,6.682435568,7.146366989,8.379482706,8.022186357,8.112600224,8.983243751,9.372249445,9.089723279,9.338473644,9.063629855,9.001536895,8.652260314
Switzerland,CHE,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,5.209252084,5.585234864,5.493686417,5.507343225,5.438192178,5.440860558,5.667242252,5.759732111,6.4397861,6.467851303,5.311011786,4.727052263,3.904829212,4.038152883,3.984967956,4.078009552,3.68806665,3.4032153,3.238983723,3.37367583,3.536796797,3.547211369,3.362865703,3.257034677,3.161634607,3.08716473,2.80539206,2.754507763,2.753657481,2.91651161,2.943821515,2.976295376,3.061457042,2.988556066,2.924829574,2.792054952,2.650008049,2.633927804,2.51197842,2.511204281,2.447471721,2.552789078,2.60059469,2.630179889,2.772875655,3.066805767,3.427451338,3.931739796,3.758363667,3.708697982,3.746458987,4.007396386,3.981819618,3.985836229,3.947742617,3.921201643,3.839346883
Channel Islands,CHI,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,6.621494813,6.298733881,7.069724732,5.217454722,6.056141806,4.374296121,5.324586491,4.495809331,4.543584675,8.65487061,6.161929423,3.791938564,4.49467548,10.31860708,10.0139287,14.01782031,15.41041637,13.04204965,14.91178377,17.92859265,19.7608413,19.33769552,22.38047504,24.22029851,27.12164562,26.5557998,23.42041847,22.47341068,23.68950954,27.10411967,28.46463163,28.04266818,26.73486389,24.21631289,27.55531979,25.28780101,28.5097639,27.89829351,24.67689957,26.45379033,27.87977173,27.95615777,21.64778414,19.27633109,15.18708886,15.23238385,19.00101093,20.1868678,16.77101394,17.70450159,18.69680186,20.8090405,22.63068693,24.56420907,26.45638129,24.3447122,24.46715223
China,CHN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,15.27033876,12.56623055,12.41722901,14.58959598,14.60111186,13.9132578,12.65325995,12.26012411,11.32161769,10.81448285,10.04584434,8.246257162,8.211302772,7.126008042,6.620434944,6.013620875,5.436696221,5.340035256,4.958419133,4.387797641,3.504805838,3.228991483,2.87082381,2.714097345,2.505044408,2.935867921,2.795647371,2.851016789,2.746377375,2.713149212,2.707768313,2.77826876,3.154573059,3.02794609,
Cote d'Ivoire,CIV,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,75.44143724,73.09855923,70.47915113,64.24889742,67.3008792,62.06025227,65.58021952,60.79005077,67.73490918,65.96489701,58.16930989,51.9117984,63.04507007,62.48914806,66.76752451,71.20993767,74.08885523,68.39882422,,64.72859163,60.26749052,58.4875821,,67.9925254,,,,,,,,,,63.26180917,62.75636746,58.47201053,59.40230233,55.34215062,50.32927006,53.63002808,58.8176093,55.01085653,45.3842193,38.33417506,35.16316657,39.62569874,40.55995843,48.17242053,49.5168193,50.65687578,46.75525735,38.45150766,51.9848815,68.764941,64.63583449,59.80175235,
Cameroon,CMR,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,58.98496602,62.00019923,63.84948888,59.65323066,62.10895874,65.74995647,69.34994585,65.68682949,74.95444618,64.34690289,63.19662798,62.38702714,69.63006181,66.86856914,64.70378409,72.84916012,74.24722598,52.7674832,47.9550041,,32.86558925,,,,52.48140746,40.13595812,,35.5068618,20.42246014,,,,,27.03738117,24.28665191,22.36853001,,,14.94085377,16.79743011,20.59668131,19.68496294,18.76196532,14.66435869,12.01748819,11.54420383,32.28548316,47.82603711,24.43145556,40.08321197,17.15611896,16.59813149,17.49241576,26.023111,45.12628759,21.8376169,
"Congo, Dem. Rep.",COD,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,95.15259483,,,15.50874767,,,,,11.98438942,,14.03964071,13.66523462,11.98754965,17.70833954,25.66681447,27.90231466,32.50930347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
