id,cuisine
1095,mexican
1096,italian
1097,italian
1098,mexican
1099,cajun_creole
1100,mexican
1101,southern_us
1102,southern_us
1103,italian
1104,italian
1105,southern_us
1106,korean
1107,cajun_creole
1108,italian
1109,southern_us
1110,italian
1111,spanish
1112,italian
1113,jamaican
1114,italian
1115,korean
1116,french
1117,french
1118,mexican
1119,mexican
1120,italian
1121,british
1122,french
1123,italian
1124,southern_us
1125,brazilian
1126,southern_us
1127,moroccan
1128,chinese
1129,italian
1130,italian
1131,japanese
1132,thai
1133,southern_us
1134,southern_us
1135,moroccan
1136,italian
1137,french
1138,italian
1139,jamaican
1140,british
1141,southern_us
1142,italian
1143,jamaican
1144,italian
1145,cajun_creole
1146,indian
1147,mexican
1148,southern_us
1149,italian
1150,mexican
1151,italian
1152,italian
1153,italian
1154,southern_us
1155,italian
1156,italian
1157,mexican
1158,moroccan
1159,italian
1160,korean
1161,southern_us
1162,italian
1163,thai
1164,spanish
1165,chinese
1166,italian
1167,japanese
1168,korean
1169,italian
1170,filipino
1171,italian
1172,mexican
1173,italian
1174,mexican
1175,italian
1176,cajun_creole
1177,cajun_creole
1178,southern_us
1179,italian
1180,italian
1181,french
1182,spanish
1183,southern_us
1184,french
1185,italian
1186,mexican
1187,italian
1188,italian
1189,southern_us
1190,french
1191,moroccan
1192,southern_us
1193,italian
1194,greek
1195,mexican
1196,italian
1197,southern_us
1198,japanese
1199,southern_us
1200,moroccan
1201,italian
1202,british
1203,italian
1204,korean
1205,southern_us
1206,italian
1207,southern_us
1208,japanese
1209,southern_us
1210,korean
1211,french
1212,mexican
1213,italian
1214,french
1215,italian
1216,chinese
1217,russian
1218,southern_us
1219,greek
1220,southern_us
1221,thai
1222,italian
1223,cajun_creole
1224,chinese
1225,moroccan
1226,italian
1227,italian
1228,french
1229,italian
1230,italian
1231,italian
1232,greek
1233,jamaican
1234,mexican
1235,southern_us
1236,thai
1237,french
1238,jamaican
1239,french
1240,brazilian
1241,italian
1242,southern_us
1243,thai
1244,greek
1245,filipino
1246,chinese
1247,thai
1248,southern_us
1249,spanish
1250,southern_us
1251,mexican
1252,italian
1253,chinese
1254,french
1255,southern_us
1256,moroccan
1257,mexican
1258,southern_us
1259,french
1260,chinese
1261,spanish
1262,filipino
1263,italian
1264,southern_us
1265,southern_us
1266,french
1267,italian
1268,thai
1269,italian
1270,japanese
1271,southern_us
1272,cajun_creole
1273,japanese
1274,italian
1275,japanese
1276,indian
1277,italian
1278,chinese
1279,italian
1280,italian
1281,british
1282,mexican
1283,spanish
1284,irish
1285,mexican
1286,filipino
1287,italian
1288,french
1289,moroccan
1290,italian
1291,russian
1292,mexican
1293,irish
1294,italian
1295,mexican
1296,italian
1297,greek
1298,italian
1299,indian
1300,filipino
1301,indian
1302,southern_us
1303,chinese
1304,british
1305,italian
1306,russian
1307,mexican
1308,irish
1309,mexican
1310,italian
1311,italian
1312,italian
1313,mexican
1314,italian
1315,mexican
1316,thai
1317,british
1318,italian
1319,italian
1320,italian
1321,mexican
1322,mexican
1323,mexican
1324,thai
1325,southern_us
1326,mexican
1327,italian
1328,italian
1329,british
1330,southern_us
1331,french
1332,southern_us
1333,thai
1334,italian
1335,greek
1336,italian
1337,chinese
1338,greek
1339,british
1340,italian
1341,chinese
1342,mexican
1343,mexican
1344,spanish
1345,greek
1346,italian
1347,italian
1348,italian
1349,southern_us
1350,italian
1351,southern_us
1352,thai
1353,mexican
1354,moroccan
1355,indian
1356,chinese
1357,thai
1358,mexican
1359,british
1360,chinese
1361,italian
1362,irish
1363,chinese
1364,filipino
1365,mexican
1366,mexican
1367,british
1368,southern_us
1369,italian
1370,southern_us
1371,mexican
1372,brazilian
1373,italian
1374,french
1375,chinese
1376,italian
1377,southern_us
1378,italian
1379,italian
1380,indian
1381,mexican
1382,british
1383,italian
1384,russian
1385,italian
1386,italian
1387,filipino
1388,chinese
1389,mexican
1390,southern_us
1391,chinese
1392,chinese
1393,italian
1394,filipino
1395,italian
1396,cajun_creole
1397,italian
1398,italian
1399,southern_us
1400,french
1401,jamaican
1402,filipino
1403,french
1404,southern_us
1405,filipino
1406,indian
1407,chinese
1408,british
1409,italian
1410,greek
1411,british
1412,mexican
1413,southern_us
1414,southern_us
1415,italian
1416,italian
1417,chinese
1418,indian
1419,french
1420,italian
1421,italian
1422,greek
1423,italian
1424,mexican
1425,filipino
1426,mexican
1427,southern_us
1428,italian
1429,mexican
1430,italian
1431,mexican
1432,italian
1433,italian
1434,italian
1435,italian
1436,italian
1437,italian
1438,italian
1439,italian
1440,italian
1441,italian
1442,italian
1443,italian
1444,italian
1445,italian
1446,italian
1447,italian
1448,italian
1449,italian
1450,italian
1451,italian
1452,italian
1453,italian
1454,italian
1455,italian
1456,italian
1457,italian
1458,italian
1459,italian
1460,italian
1461,italian
1462,italian
1463,italian
1464,italian
1465,italian
1466,italian
1467,italian
1468,italian
1469,italian
1470,italian
1471,italian
1472,italian
1473,italian
1474,italian
1475,italian
1476,italian
1477,italian
1478,italian
1479,italian
1480,italian
1481,italian
1482,italian
1483,italian
1484,italian
1485,italian
1486,italian
1487,italian
1488,italian
1489,italian
1490,italian
1491,italian
1492,italian
1493,italian
1494,italian
1495,italian
1496,italian
1497,italian
1498,italian
1499,italian
1500,italian
1501,italian
1502,italian
1503,italian
1504,italian
1505,italian
1506,italian
1507,italian
1508,italian
1509,italian
1510,italian
1511,italian
1512,italian
1513,italian
1514,italian
1515,italian
1516,italian
1517,italian
1518,italian
1519,italian
1520,italian
1521,italian
1522,italian
1523,italian
1524,italian
1525,italian
1526,italian
1527,italian
1528,italian
1529,italian
1530,italian
1531,italian
1532,italian
1533,italian
1534,italian
1535,italian
1536,italian
1537,italian
1538,italian
1539,italian
1540,italian
1541,italian
1542,italian
1543,italian
1544,italian
1545,italian
1546,italian
1547,italian
1548,italian
1549,italian
1550,italian
1551,italian
1552,italian
1553,italian
